,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
2578,500.42,,,0.0,8000.0,500.74,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,511.42
2579,500.85,,,0.0,9500.0,502.72,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9511.0,511.85
2580,502.79,,,0.0,8000.0,503.65,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,513.79
2581,503.9,,,0.0,9000.0,510.05,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,514.9
2582,510.94,,,0.0,8000.0,510.96,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,521.94
2583,510.98,,,0.0,7500.0,513.18,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,7511.0,521.98
2584,513.35,,,0.0,10000.0,513.41,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,10011.0,524.35
2585,513.54,,,0.0,9500.0,513.6,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9511.0,524.54
2586,514.01,,,0.0,9000.0,517.04,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,525.01
2587,525.25,,,0.0,8000.0,526.28,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,536.25
2588,526.76,,,0.0,9000.0,526.97,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,537.76
2589,527.07,,,0.0,10000.0,527.92,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,10011.0,538.07
2590,528.44,,,0.0,9000.0,534.81,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,539.44
2591,535.42,,,0.0,12000.0,535.59,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,12011.0,546.42
2592,536.19,,,0.0,9000.0,537.37,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,547.19
2593,538.57,,,0.0,8500.0,540.89,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8511.0,549.57
2594,542.51,,,0.0,9000.0,542.93,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,553.51
2595,543.55,,,0.0,9500.0,544.15,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9511.0,554.55
2596,544.26,,,0.0,9000.0,544.81,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,555.26
2597,545.89,,,0.0,8000.0,546.01,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,556.89
2598,547.56,,,0.0,9000.0,549.91,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,558.56
2599,550.9,,,0.0,10000.0,550.99,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,10011.0,561.9
2600,552.11,,,0.0,9000.0,552.84,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,563.11
2601,553.71,,,0.0,9000.0,554.24,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,564.71
2602,563.26,,,0.0,9000.0,563.4,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,574.26
