,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
20,./data/2022-05-07_10h47m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-07_10h47m_Subject 1.2.txt,05/07/22,05/07/22,1.2,Pilot of Pilot,Cage 2,2,10:47:06,11:47:58,levelNP_CS_reward_laserepochON1st_noshock,2
21,./data/2022-05-05_10h52m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-05_10h52m_Subject 2.3.txt,05/05/22,05/05/22,2.3,Pilot of Pilot,Cage 1,4,10:52:04,12:00:26,levelNP_CS_reward_laserepochON1st_noshock,1
22,./data/2022-05-06_10h12m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-06_10h12m_Subject 1.3.txt,05/06/22,05/06/22,1.3,Pilot of Pilot,Cage 2,2,10:12:35,11:13:47,levelNP_CS_reward_laserepochON1st_noshock,2
23,./data/2022-05-06_10h12m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-06_10h12m_Subject 1.2.txt,05/06/22,05/06/22,1.2,Pilot of Pilot,Cage 2,1,10:12:35,11:13:47,levelNP_CS_reward_laserepochON1st_noshock,2
24,./data/2022-05-05_10h52m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-05_10h52m_Subject 1.1.txt,05/05/22,05/05/22,1.1,Pilot of Pilot,Cage 1,2,10:52:04,12:00:26,levelNP_CS_reward_laserepochON1st_noshock,1
25,./data/2022-05-05_12h23m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-05_12h23m_Subject 1.2.txt,05/05/22,05/05/22,1.2,Pilot of Pilot,Cage 2,4,12:23:04,13:25:29,levelNP_CS_reward_laserepochON1st_noshock,2
26,./data/2022-05-06_08h37m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-06_08h37m_Subject 2.2.txt,05/06/22,05/06/22,2.2,Pilot of Pilot,Cage 1,4,08:37:09,09:53:25,levelNP_CS_reward_laserepochON1st_noshock,1
27,./data/2022-05-10_10h42m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-10_10h42m_Subject 2.1.txt,05/10/22,05/10/22,2.1,Pilot of Pilot,Cage 2,4,10:42:30,11:43:52,levelNP_CS_reward_laserepochON1st_noshock,2
28,./data/2022-05-07_10h47m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-07_10h47m_Subject 2.1.txt,05/07/22,05/07/22,2.1,Pilot of Pilot,Cage 2,1,10:47:06,11:47:58,levelNP_CS_reward_laserepochON1st_noshock,2
29,./data/2022-05-11_15h25m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-11_15h25m_Subject 2.2.txt,05/11/22,05/12/22,2.2,Pilot of Pilot,Cage 1,2,15:25:43,10:08:20,levelNP_CS_reward_laserepochON1st_noshock,1
30,./data/2022-05-16_11h28m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-16_11h28m_Subject 1.3.txt,05/16/22,05/16/22,1.3,Pilot of Pilot,Cage 2,1,11:28:08,12:35:20,levelNP_CS_reward_laserepochON1st_noshock,2
31,./data/2022-05-08_09h49m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-08_09h49m_Subject 2.3.txt,05/08/22,05/08/22,2.3,Pilot of Pilot,Cage 1,3,09:49:59,10:52:52,levelNP_CS_reward_laserepochON1st_noshock,1
32,./data/2022-05-11_15h25m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-11_15h25m_Subject 2.3.txt,05/11/22,05/12/22,2.3,Pilot of Pilot,Cage 1,3,15:25:43,10:08:20,levelNP_CS_reward_laserepochON1st_noshock,1
33,./data/2022-05-10_15h58m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-10_15h58m_Subject 1.1.txt,05/10/22,05/11/22,1.1,Pilot of Pilot,Cage 1,4,15:58:37,10:11:07,levelNP_CS_reward_laserepochON1st_noshock,1
34,./data/2022-05-16_09h46m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-16_09h46m_Subject 1.4.txt,05/16/22,05/16/22,1.4,Pilot of Pilot,Cage 1,1,09:46:21,10:49:24,levelNP_CS_reward_laserepochON1st_noshock,1
35,./data/2022-05-11_15h25m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-11_15h25m_Subject 1.4.txt,05/11/22,05/12/22,1.4,Pilot of Pilot,Cage 1,4,15:25:43,10:08:20,levelNP_CS_reward_laserepochON1st_noshock,1
