subject,20220508,20220509,20220510,20220511,cage
1.1,0.5897435897435898,0.725,0.55,0.5,1
1.4,0.7692307692307693,0.825,0.5,0.425,1
2.2,0.8205128205128205,0.675,0.75,0.3,1
2.3,0.9230769230769231,0.925,0.8,0.75,1
